longitude	latitude	depth	Scaled Size
80.996	34.9676	10	0.2
73.4766	38.4299	123.85	0.2
69.8174	36.5051	28.55	0.2
84.8272	27.8919	10	0.2
78.3541	35.8144	10	0.2
70.2093	30.0772	10	0.2
94.9239	38.8568	10	0.2
92.6686	26.3263	47.34	0.2
78.3493	35.7873	23.01	0.2
81.6777	29.6464	10	0.2
96.9851	27.1823	38.89	0.2
69.3073	28.7329	16.64	0.2
68.5616	32.9691	39.96	0.2
71.0575	36.5631	199.4	0.2
70.5177	33.1351	19.35	0.2
68.5817	32.975	39.5	0.2
96.5154	34.5599	18.25	0.2
73.3883	39.4512	10	0.2
71.467	37.3578	89.53	0.2
96.5238	34.5942	10	0.2
70.6548	38.9817	10	0.2
71.1715	36.3125	88.42	0.2
70.6957	36.7206	260.98	0.2
74.4656	39.7466	31.34	0.2
70.013	36.3456	134.98	0.2
96.9676	26.4448	10	0.2
71.1277	36.4561	237.94	0.2
69.9052	38.6859	5	0.2
70.6687	36.4652	200.25	0.2
98.9952	25.1354	37.15	0.2
69.0047	37.1969	21.28	0.2
73.9572	39.6441	47.79	0.2
87.6339	30.362	11.41	0.2
71.2229	36.4994	205.8	0.2
82.2307	35.7797	33.68	0.2
86.9413	34.8817	10	0.2
93.3826	32.8745	10	0.2
72.478	38.1537	111.52	0.2
86.9597	34.99	10	0.2
70.7313	36.4525	199.53	0.2
70.02	38.4978	17.53	0.2
72.6886	38.1613	112.89	0.2
72.9721	39.4604	21.53	0.2
96.1232	26.6901	76.88	0.2
72.5075	38.8765	40.74	0.2
70.9416	36.562	172.9	0.2
73.6696	39.4727	40.4	0.2
70.8351	36.5496	165.81	0.2
95.0865	29.964	27.66	0.2
94.2556	27.6391	15.94	0.2
90.8605	25.725	10	0.2
78.5677	34.3183	35.55	0.2
76.9149	33.4204	20.3	0.2
86.1471	27.7618	10	0.2
77.5618	35.7238	74.3	0.2
79.1601	30.6339	10	0.2
95.1799	29.9261	10	0.2
70.3351	35.0633	78.71	0.2
86.4912	35.1672	14.73	0.2
94.8843	29.9311	10	0.2
71.5105	37.2567	103.57	0.2
73.9038	38.2483	31.36	0.2
87.4355	30.2645	9.83	0.2
73.6628	39.5863	52.58	0.2
96.3595	36.9677	35	0.2
81.2918	29.6127	10	0.2
70.6618	36.1991	101.46	0.2
76.2599	33.5105	32.12	0.2
95.0497	32.074	10	0.2
72.5015	38.0372	118.43	0.2
68.0037	39.8279	14.13	0.2
74.5944	34.2131	35	0.2
69.9891	29.5021	25.67	0.2
83.4386	34.014	10	0.2
82.6488	32.0662	10	0.2
70.9351	36.3311	114.38	0.2
72.998	33.5732	32.11	0.2
71.3353	36.4191	110.81	0.2
74.5783	35.4065	49.61	0.2
81.1558	29.3871	10	0.2
94.704	30.4658	10	0.2
94.9281	30.3667	10	0.2
94.5263	25.8288	61.1	0.2
73.9838	38.2259	43.87	0.2
94.8528	30.3422	28.2	0.2
70.9333	36.5673	193.5	0.2
73.9444	39.7077	43.61	0.2
68.1623	37.9536	10	0.2
70.9118	36.7124	265.93	0.2
70.92	36.3061	112.57	0.2
91.854	37.6559	10	0.2
82.7985	30.6609	51.53	0.2
73.4405	34.6598	22.29	0.2
86.1159	27.2384	10	0.2
70.9306	36.5451	188.61	0.2
70.7841	38.7465	10	0.2
70.6732	36.4357	207.15	0.2
71.3078	36.7161	188.86	0.2
73.3754	38.3993	123.4	0.2
72.9161	34.8708	25.09	0.2
91.076	33.616	35	0.2
71.223	36.3624	77.59	0.2
95.1091	25.2784	92.06	0.2
91.0601	33.615	10	0.2
76.7797	28.9744	10	0.2
73.5918	39.4354	10	0.2
71.3433	36.7053	177.09	0.2
75.3494	37.6	10	0.2
75.4207	37.5941	10	0.2
75.3098	37.6433	7.62	0.2
70.4746	38.9635	10	0.2
71.5463	36.6476	400.57	0.2
71.435	39.4959	10	0.2
71.3811	39.4524	8.55	0.2
71.3001	39.4947	10	0.2
71.1967	39.4332	10	0.2
71.4131	39.5607	10	0.2
71.4795	39.509	10	0.2
71.502	39.5019	10	0.2
71.3977	39.5419	21.85	0.2
71.4784	39.5178	10	0.2
71.3378	39.5183	10	0.2
77.9129	37.9748	10	0.2
76.422	33.9575	51.3	0.2
70.8619	36.5405	194.44	0.2
72.1238	37.7524	121.97	0.2
71.3606	36.1398	108.14	0.2
71.3571	36.7821	178.43	0.2
68.9415	36.3391	43.02	0.2
99.8406	25.9382	27.61	0.2
99.8842	25.8832	10	0.2
67.1771	29.1084	18.04	0.2
71.9527	37.5003	9.93	0.2
73.3558	39.2998	48.34	0.2
73.4677	39.2516	41.22	0.2
84.9348	36.6638	12.83	0.2
94.6658	25.1865	74.07	0.2
81.3133	39.9151	15.87	0.2
72.101	37.6873	127.1	0.2
85.9319	27.3706	20.28	0.2
86.0789	27.4259	11.23	0.2
83.5019	30.2107	10	0.2
70.092	39.0404	10	0.2
72.889	38.2031	119.56	0.2
70.9478	36.4952	152.22	0.2
70.4511	36.0949	115.93	0.2
79.1645	30.6544	16.05	0.2
83.978	32.0126	10	0.2
81.777	35.6969	10	0.2
83.3674	30.6877	10	0.2
71.2933	36.4309	82.93	0.2
76.7293	38.2914	37.17	0.2
70.6922	38.9043	6.01	0.2
68.3142	36.9069	25.83	0.2
68.4194	36.8955	14.04	0.2
71.4964	37.4495	34.37	0.2
83.7309	30.4946	10	0.2
71.6407	37.2871	108.45	0.2
69.819	36.0937	118.41	0.2
74.0906	39.2391	10	0.2
90.0487	38.5817	10	0.2
74.0601	39.2603	10	0.2
70.4468	36.2316	93.88	0.2
71.6641	37.4749	118.73	0.2
74.708	39.1491	10	0.2
74.5611	39.2339	10	0.2
69.276	34.1753	10	0.2
99.5574	39.0014	10	0.2
71.1604	36.454	87.51	0.2
92.116	32.4198	10	0.2
80.6321	29.979	31.96	0.2
71.0964	36.7509	230.42	0.2
70.7886	38.8657	10	0.2
74.1808	39.2964	10	0.2
86.5319	27.8015	10	0.2
74.5186	39.2353	10	0.2
74.2226	39.2451	10	0.2
74.2581	39.2848	10	0.2
74.2447	39.1881	10	0.2
73.9606	39.1904	10	0.2
73.9707	39.3566	10	0.2
73.9162	39.1868	10	0.2
